"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IRX3",1.0186888723847,3.79188424930652,9.36823820529049,2.54031088551808e-19,8.19294671609047e-18,33.1006465981847
"AHCYL2",1.01182811725963,4.21339123713155,9.24607061144683,6.76682063118118e-19,2.07365958478456e-17,32.1370952450384
"NDNF",1.19167581121611,3.72471582115364,9.23298306656826,7.51174245204706e-19,2.2829756961345e-17,32.034400050932
"CLDN18",1.66257967561361,2.42162963211806,9.20969728652958,9.04337504963883e-19,2.69084165993125e-17,31.8519355333024
"SFTA2",1.50303708782719,6.97192969351782,9.15000464395004,1.45305217514346e-18,4.26167035406147e-17,31.3856822982853
"CXCL8",-1.18777175501428,3.82757646042024,-9.02757160110427,3.81765422832486e-18,1.05273669961341e-16,30.4361321054057
"GKN2",1.30617028833621,1.45630263839925,9.02131438518889,4.00988027968267e-18,1.10080761011289e-16,30.3878490524952
"MMP9",-1.15950478525837,4.50474299550967,-9.0028158231107,4.63601089342034e-18,1.26143258055779e-16,30.2452476735415
"SLC34A2",1.47481006780027,7.89927410601512,8.96851853605748,6.06366257377587e-18,1.62590766222409e-16,29.9814142687426
"SFTPA1",2.40852912310989,7.8907960559501,8.83842689849784,1.66775171519592e-17,4.23783521238764e-16,28.9872982824319
"SFTPA2",2.36835297677978,8.16990996227748,8.80262242289739,2.19922913869498e-17,5.50493611270623e-16,28.7155442259731
"MMP11",-1.25313254527813,3.24159968454631,-8.80177492208605,2.21365546742161e-17,5.53353876192329e-16,28.7091214792
"ANGPTL4",-1.21658591776402,3.61572590872796,-8.78301615583699,2.55806550655472e-17,6.34290221302707e-16,28.5670745481162
"SPINK5",1.11788312183353,1.77541982609552,8.75067104574943,3.2807675250702e-17,7.98626964042359e-16,28.3226679834824
"KIAA1324",1.2355403759807,2.76210608603097,8.70318609634612,4.72180351306587e-17,1.1298032582236e-15,27.9650585527823
"WIF1",1.41536919707707,2.02587301409839,8.65428729137273,6.85974868371848e-17,1.60564096446824e-15,27.5982961936756
"S100A8",-1.27307224833756,3.86379206507925,-8.64680490326058,7.2622334944353e-17,1.69586941146003e-15,27.5423092980419
"C15orf48",-1.22937303451314,4.58827331003263,-8.59448775844084,1.08088355075179e-16,2.47089711824894e-15,27.1518462640036
"LAMP3",1.01574316602617,4.22594769263694,8.52651535057393,1.80736071232628e-16,3.99786455887233e-15,26.6471654325669
"TNNT1",-1.30694499008705,2.38545136641483,-8.36318037117287,6.1419103176769e-16,1.27024620561103e-14,25.4466759145604
"CDA",-1.25725352974629,3.0408182886936,-8.23961393308925,1.53192836338189e-15,2.96889802354334e-14,24.5500995624096
"ST6GALNAC1",1.08751536699778,3.79852298651211,8.13779686807094,3.22885324710398e-15,6.05344356733478e-14,23.8189506998256
"AGER",1.318114890598,3.74596440187937,8.00313042057843,8.5655567055953e-15,1.52969399907863e-13,22.8626054498086
"PPP1R1B",1.27135113918239,2.91057216066474,7.99996371853889,8.76306408240376e-15,1.5634526711043e-13,22.8402645531724
"AGR3",1.40012625998196,4.76409687104268,7.85695211594152,2.43622767505286e-14,4.07836008615019e-13,21.8384634726697
"FAM83A",-1.11313242508352,3.71055633715102,-7.84284173837734,2.69281562205751e-14,4.47138277189172e-13,21.7403805361562
"LAMC2",-1.01452135269011,4.77513094985848,-7.82567164108756,3.04120985510822e-14,5.00037784376439e-13,21.6212144076242
"TMPRSS11E",-1.13222631157788,1.73328745565849,-7.80228521690224,3.5881985365576e-14,5.85279280304285e-13,21.45923268683
"GJB3",-1.00621630140155,1.76366052181678,-7.80159554030657,3.60572261054661e-14,5.87618115895441e-13,21.454461515445
"CLU",1.05461204436991,5.17260772400477,7.79213385205374,3.85483218109132e-14,6.26554573363637e-13,21.3890389792815
"GPR87",-1.12467290283569,1.8734176464362,-7.75268009479986,5.08979039543618e-14,8.07364172098079e-13,21.1169067245052
"AQP5",1.65252019745546,3.23126550906202,7.62759027012523,1.21983704146648e-13,1.83403045973705e-12,20.261277811612
"SFTPC",2.29342542391538,5.14914356358173,7.59898351345294,1.48749151216371e-13,2.20411593705993e-12,20.0671466088039
"MS4A15",1.18405333560575,1.7842619122202,7.5782423441943,1.71697899228961e-13,2.51787189584727e-12,19.9267537959061
"WFDC2",1.06296290886968,7.49844776366672,7.52943828410233,2.40364101365876e-13,3.46154328024799e-12,19.5976092916714
"C7",1.0409044865011,3.35008332871719,7.34232364519114,8.59654737372564e-13,1.13197077766232e-11,18.3514016948639
"SCGB3A1",1.90429419739101,5.37072519536223,7.21992490015056,1.95228477627827e-12,2.43678955025586e-11,17.5498533379547
"ALPL",1.15416510863879,4.25940620777242,7.20288314755019,2.18661317280906e-12,2.70004282543383e-11,17.4391164836734
"ALOX15B",1.07862424644647,3.55453725651941,7.19859336272622,2.24982999364833e-12,2.77253598682861e-11,17.4112749791706
"KRT6A",-1.42341124803162,1.98208837816259,-7.0902136497222,4.60217299560253e-12,5.38711214612154e-11,16.7123442215253
"TNS4",-1.02260477649972,1.96013761488453,-7.08699312109976,4.70048390259564e-12,5.49521717586087e-11,16.6917074397253
"MMP1",-1.27137597482518,4.01139522055304,-6.82484374158905,2.56072806529822e-11,2.69790470294812e-10,15.0377223298513
"CLIC6",1.06188313558423,4.54231949617068,6.77355413426902,3.54685478110662e-11,3.66773413687527e-10,14.7201427082992
"SNCG",-1.01611889955572,3.36223753084552,-6.67524890133187,6.58636407854274e-11,6.53605403555441e-10,14.1170187736576
"S100A9",-1.17274608882103,7.55257876401036,-6.65273061237818,7.5819160401489e-11,7.43600144118378e-10,13.9798996529262
"CLDN2",1.18280188100893,2.02965501713441,6.45150935914969,2.62253938380476e-10,2.36695726773142e-09,12.7718962518499
"UCHL1",-1.18113687967783,3.38714590517423,-6.40004874487789,3.58441941369164e-10,3.17605040075809e-09,12.4679862072816
"SPP1",-1.10512836236699,6.89906295250888,-6.32561194699573,5.61244826706336e-10,4.8518484363067e-09,12.0320390906496
"MAGEA3",-1.00426773022258,1.03897482798645,-6.18480673231412,1.29559873209412e-09,1.05060243558999e-08,11.2192913117392
"SAA1",-1.05505814831302,3.07474303131195,-6.08123990587223,2.37390140380655e-09,1.84705749040166e-08,10.6314991227236
"CYP24A1",-1.10483036018963,2.93622225368975,-6.04695862211306,2.89546393853147e-09,2.22101949014672e-08,10.438817980176
"CTSE",1.29058655983831,5.04138999483153,5.88468662490953,7.32151177239427e-09,5.27400426306636e-08,9.53954618674165
"DMBT1",1.10844724564844,2.99153907906393,5.8786040991009,7.57753115736798e-09,5.4414283686697e-08,9.50625102079455
"CEACAM6",1.0176766000184,8.30440085843761,5.5435544350283,4.80933934363529e-08,3.00245997331248e-07,7.71882605616098
"KRT17",-1.0346581678252,3.7583729502773,-5.43647848460498,8.51814625456615e-08,5.09046848410225e-07,7.16709650129808
"SCGB1A1",1.50642880891343,4.60334503525289,5.0500823480644,6.20267389674322e-07,3.14752985971676e-06,5.25608399996894
"MSLN",1.28438618737074,5.33744961525044,4.93638976057124,1.08678389217e-06,5.26773232862641e-06,4.71793958150687
"FGB",-1.18134107830425,2.19532617083264,-4.43099087016911,1.1539015766321e-05,4.57395279022539e-05,2.4612823429234
"SPINK1",1.05733679127904,4.28152395401447,3.98247267814799,7.83511014173049e-05,0.000261927354134071,0.647642948271351
