Tag	p.value	HR	Low 95%CI	High 95%CI	Type
S100A16	0.000658629990694179	1.25691738684062	1.10195873810951	1.43366649104538	Risk
STC1	0.00156851928533384	1.20584703429153	1.07373837439537	1.35420983806085	Risk
MAGI1	0.0328881552408894	0.743425333895785	0.56616771443516	0.97617934224569	Portect
PLXND1	0.0390503495880907	0.839698034181067	0.711309873301201	0.991259667653989	Portect
CAPNS1	0.00599213724274033	1.44801586789147	1.11202184416105	1.885529465698	Risk
PLXNA2	0.0415975279714622	0.8446279546162	0.717996707439825	0.993592831731663	Portect
EFNB2	0.0125506278212378	1.20973755876755	1.04175518128268	1.40480699053586	Risk
COL4A2	0.0234510342458619	1.18335022208839	1.02299737673711	1.36883806347872	Risk
NID1	0.0361666244311135	1.18052745537076	1.01075836005067	1.37881132421629	Risk
LAMB1	0.00102096990091794	1.31161407025425	1.11560750093591	1.5420579978583	Risk
LAMC1	0.0107099561190016	1.29870897364871	1.06251305678257	1.58741107929824	Risk
ITGA5	0.00179466333241138	1.26017368815489	1.08989937530341	1.45704985276811	Risk
MECOM	0.0249166949375986	0.850850471676141	0.738838688858158	0.979843822567465	Portect
PNP	0.0267355763806476	1.25979496255308	1.02698208272123	1.54538562490669	Risk
RGS3	0.048846688051588	0.749883308258717	0.563144214896054	0.998545241397593	Portect
CAV2	0.0407674139582783	1.15270688619706	1.00598634937303	1.32082623816342	Risk
A2M	0.02818699014853	0.873572233861248	0.774239737293653	0.985648773906697	Portect
SCARF1	0.00720093795796043	0.742594524952311	0.597708072674145	0.922601941817477	Portect
TUBB6	0.00478936347318967	1.26100886522404	1.07334251559955	1.48148734915751	Risk
CYYR1	0.0496409279013824	0.8030431882704	0.645100421393008	0.99965577581698	Portect
COL4A1	0.0220482509456857	1.18391178966335	1.0245993946901	1.36799527012	Risk
BCAM	0.0216611365815992	0.871107524582618	0.774319511448694	0.979993798638427	Portect
SERPINH1	0.00443332212703527	1.34590937503493	1.09686298831505	1.65150257151955	Risk
GRB10	0.0120165748021468	1.26890565602887	1.05370386015049	1.52805890231065	Risk
JAG1	0.000623728631297215	1.328754872344	1.12907380402497	1.5637503097529	Risk
DLC1	0.00481192537080513	0.827531296749017	0.725487281956836	0.943928396996838	Portect
IL3RA	0.0492972197150395	0.809798389408418	0.656199172079103	0.999351202182585	Portect
RHOC	0.00227162056706665	1.3633691472523	1.11730572885841	1.66362293119058	Risk
NECTIN2	0.00681249487584703	1.35658495016306	1.08770408196121	1.69193327259624	Risk
YES1	0.0266771607072582	1.30635588165291	1.03138168534107	1.65464028863843	Risk
LRRC8A	0.00132807287552543	1.43201202732149	1.15006927226191	1.7830738511605	Risk
FSCN1	1.89442992238694e-05	1.27659037754659	1.14143854521586	1.42774483906741	Risk
