Tag	Samples	Cluster
GSM773752	GSM773752	C1
GSM773753	GSM773753	C1
GSM773754	GSM773754	C1
GSM773755	GSM773755	C1
GSM773756	GSM773756	C2
GSM773757	GSM773757	C1
GSM773758	GSM773758	C1
GSM773759	GSM773759	C1
GSM773760	GSM773760	C1
GSM773761	GSM773761	C1
GSM773762	GSM773762	C1
GSM773763	GSM773763	C1
GSM773764	GSM773764	C1
GSM773765	GSM773765	C1
